Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
1,c,a,1270,9,2008,0,NULL,NULL,NULL
2,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct"
3,a,a,14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct"
4,c,c,620,9,2009,0,NULL,NULL,NULL
5,a,a,29910,4,2015,0,NULL,NULL,NULL
6,a,a,310,12,2013,0,NULL,NULL,NULL
7,a,c,24000,4,2013,0,NULL,NULL,NULL
8,a,a,7520,10,2014,0,NULL,NULL,NULL
9,a,c,2030,8,2000,0,NULL,NULL,NULL
10,a,a,3160,9,2009,0,NULL,NULL,NULL
11,a,c,960,11,2011,1,1,2012,"Jan,Apr,Jul,Oct"
12,a,c,1070,NULL,NULL,1,13,2010,"Jan,Apr,Jul,Oct"
13,d,a,310,NULL,NULL,1,45,2009,"Feb,May,Aug,Nov"
14,a,a,1300,3,2014,1,40,2011,"Jan,Apr,Jul,Oct"
15,d,c,4110,3,2010,1,14,2011,"Jan,Apr,Jul,Oct"
16,a,c,3270,NULL,NULL,0,NULL,NULL,NULL
17,a,a,50,12,2005,1,26,2010,"Jan,Apr,Jul,Oct"
18,d,c,13840,6,2010,1,14,2012,"Jan,Apr,Jul,Oct"
19,a,c,3240,NULL,NULL,1,22,2011,"Mar,Jun,Sept,Dec"
20,d,a,2340,5,2009,1,40,2014,"Jan,Apr,Jul,Oct"
21,c,c,550,10,1999,1,45,2009,"Jan,Apr,Jul,Oct"
22,a,a,1040,NULL,NULL,1,22,2012,"Jan,Apr,Jul,Oct"
23,d,a,4060,8,2005,0,NULL,NULL,NULL
24,a,c,4590,3,2000,1,40,2011,"Jan,Apr,Jul,Oct"
25,c,a,430,4,2003,0,NULL,NULL,NULL
26,d,a,2300,NULL,NULL,0,NULL,NULL,NULL
27,a,a,60,1,2005,1,5,2011,"Jan,Apr,Jul,Oct"
28,a,a,1200,10,2014,1,6,2015,"Mar,Jun,Sept,Dec"
29,d,c,2170,NULL,NULL,0,NULL,NULL,NULL
30,a,a,40,2,2014,1,10,2014,"Mar,Jun,Sept,Dec"
31,d,c,9800,7,2012,0,NULL,NULL,NULL
32,a,a,2910,NULL,NULL,1,45,2009,"Feb,May,Aug,Nov"
33,a,c,1320,5,2013,0,NULL,NULL,NULL
34,c,a,2240,9,2009,0,NULL,NULL,NULL
35,d,c,7660,10,2000,1,1,2012,"Jan,Apr,Jul,Oct"
36,a,c,540,6,2003,1,40,2014,"Jan,Apr,Jul,Oct"
37,c,a,4230,12,2014,0,NULL,NULL,NULL
38,d,a,1090,4,2007,0,NULL,NULL,NULL
39,a,a,260,10,2006,1,31,2013,"Feb,May,Aug,Nov"
40,a,a,180,NULL,NULL,1,45,2009,"Feb,May,Aug,Nov"
41,d,c,1180,NULL,NULL,1,31,2013,"Jan,Apr,Jul,Oct"
42,a,c,290,NULL,NULL,1,40,2011,"Jan,Apr,Jul,Oct"
43,d,a,4880,NULL,NULL,1,37,2009,"Jan,Apr,Jul,Oct"
44,a,a,540,6,2011,0,NULL,NULL,NULL
45,d,a,9710,2,2014,0,NULL,NULL,NULL
46,c,a,1200,9,2005,1,14,2011,"Jan,Apr,Jul,Oct"
47,a,c,270,4,2013,1,14,2013,"Jan,Apr,Jul,Oct"
48,a,a,1060,5,2012,0,NULL,NULL,NULL
49,d,c,18010,9,2007,0,NULL,NULL,NULL
50,d,a,6260,11,2009,0,NULL,NULL,NULL
51,a,c,10570,7,2013,1,9,2011,"Jan,Apr,Jul,Oct"
52,d,c,450,4,2014,1,39,2010,"Jan,Apr,Jul,Oct"
53,a,c,30360,9,2013,0,NULL,NULL,NULL
54,d,c,7170,8,2014,1,5,2013,"Feb,May,Aug,Nov"
55,a,a,720,11,2004,0,NULL,NULL,NULL
56,d,c,6620,3,2012,1,10,2014,"Mar,Jun,Sept,Dec"
57,d,c,420,6,2014,0,NULL,NULL,NULL
58,a,c,7340,5,2008,1,27,2012,"Jan,Apr,Jul,Oct"
59,a,c,2840,6,2007,1,14,2011,"Jan,Apr,Jul,Oct"
60,d,c,5540,10,2009,0,NULL,NULL,NULL
61,a,c,350,12,2007,1,1,2012,"Jan,Apr,Jul,Oct"
62,a,a,2050,NULL,NULL,0,NULL,NULL,NULL
63,c,c,3700,6,2010,1,18,2010,"Feb,May,Aug,Nov"
64,d,c,22560,NULL,NULL,1,14,2013,"Jan,Apr,Jul,Oct"
65,a,c,13840,5,2010,1,1,2012,"Jan,Apr,Jul,Oct"
66,d,a,7660,NULL,NULL,1,37,2009,"Jan,Apr,Jul,Oct"
67,a,c,410,2,2006,0,NULL,NULL,NULL
68,a,c,250,NULL,NULL,1,35,2012,"Mar,Jun,Sept,Dec"
69,c,c,1130,NULL,NULL,1,40,2011,"Jan,Apr,Jul,Oct"
70,c,c,4840,NULL,NULL,0,NULL,NULL,NULL
71,a,a,17500,8,2008,1,37,2009,"Mar,Jun,Sept,Dec"
72,a,a,2200,12,2009,1,13,2010,"Jan,Apr,Jul,Oct"
73,a,c,1650,9,2008,0,NULL,NULL,NULL
