Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
1111,4,2014-07-10,4507,410,1,0,0,1
1112,4,2014-07-10,6708,621,1,0,0,1
1113,4,2014-07-10,6748,790,1,0,0,0
1114,4,2014-07-10,19175,3402,1,0,0,1
1115,4,2014-07-10,4886,378,1,0,0,0
1,3,2014-07-09,3547,485,1,0,0,0
2,3,2014-07-09,4602,568,1,0,0,0
3,3,2014-07-09,5006,571,1,0,0,1
4,3,2014-07-09,9042,1183,1,0,0,1
5,3,2014-07-09,4109,587,1,0,0,0
6,3,2014-07-09,4463,580,1,0,0,0
7,3,2014-07-09,8095,907,1,0,0,0
8,3,2014-07-09,4267,604,1,0,0,0
9,3,2014-07-09,5533,475,1,0,0,1
10,3,2014-07-09,3567,440,1,0,0,0
11,3,2014-07-09,7600,1208,1,0,0,0
12,3,2014-07-09,6494,828,1,0,0,0
14,3,2014-07-09,4274,517,1,0,0,1
15,3,2014-07-09,5933,625,1,0,0,0
16,3,2014-07-09,6670,756,1,0,0,0
17,3,2014-07-09,4602,630,1,0,0,0
18,3,2014-07-09,5373,684,1,0,0,0
19,3,2014-07-09,4020,425,1,0,0,1
21,3,2014-07-09,3686,398,1,0,0,0
23,3,2014-07-09,4154,357,1,0,0,0
24,3,2014-07-09,6251,505,1,0,0,1
25,3,2014-07-09,8045,1171,1,0,0,1
26,3,2014-07-09,4386,419,1,0,0,0
27,3,2014-07-09,6531,822,1,0,0,1
28,3,2014-07-09,4299,522,1,0,0,0
29,3,2014-07-09,5615,478,1,0,0,1
30,3,2014-07-09,2187,335,1,0,0,1
31,3,2014-07-09,4204,476,1,0,0,0
33,3,2014-07-09,5242,529,1,0,0,1
34,3,2014-07-09,7606,975,1,0,0,1
35,3,2014-07-09,7881,615,1,0,0,1
37,3,2014-07-09,4904,585,1,0,0,0
38,3,2014-07-09,3826,341,1,0,0,1
39,3,2014-07-09,2700,403,1,0,0,1
40,3,2014-07-09,3123,480,1,0,0,1
42,3,2014-07-09,7032,807,1,0,0,1
43,3,2014-07-09,5151,424,1,0,0,1
44,3,2014-07-09,4442,566,1,0,0,1
45,3,2014-07-09,3654,313,1,0,0,0
47,3,2014-07-09,6042,887,1,0,0,0
48,3,2014-07-09,3158,356,1,0,0,0
49,3,2014-07-09,5422,432,1,0,0,0
50,3,2014-07-09,2933,285,1,0,0,0
53,3,2014-07-09,4427,506,1,0,0,0
54,3,2014-07-09,5611,580,1,0,0,0
55,3,2014-07-09,3817,524,1,0,0,0
56,3,2014-07-09,5448,400,1,0,0,0
57,3,2014-07-09,11315,1108,1,0,0,0
59,3,2014-07-09,4186,486,1,0,0,0
60,3,2014-07-09,7849,758,1,0,0,0
61,3,2014-07-09,3612,523,1,0,0,0
62,3,2014-07-09,4277,477,1,0,0,1
63,3,2014-07-09,4502,485,1,0,0,0
64,3,2014-07-09,7772,621,1,0,0,1
65,3,2014-07-09,3612,353,1,0,0,0
66,3,2014-07-09,4372,406,1,0,0,0
67,3,2014-07-09,6508,706,1,0,0,0
68,3,2014-07-09,7441,1205,1,0,0,0
69,3,2014-07-09,7004,953,1,0,0,0
70,3,2014-07-09,4209,507,1,0,0,0
71,3,2014-07-09,7395,576,1,0,0,1
73,3,2014-07-09,3599,438,1,0,0,0
74,3,2014-07-09,3368,507,1,0,0,1
75,3,2014-07-09,4527,517,1,0,0,0
77,3,2014-07-09,5033,487,1,0,0,0
78,3,2014-07-09,2888,404,1,0,0,0
79,3,2014-07-09,3674,447,1,0,0,0
80,3,2014-07-09,4788,387,1,0,0,0
82,3,2014-07-09,6607,646,1,0,0,1
83,3,2014-07-09,2897,247,1,0,0,1
84,3,2014-07-09,9891,1089,1,0,0,1
85,3,2014-07-09,6799,976,1,0,0,1
86,3,2014-07-09,2573,340,1,0,0,1
87,3,2014-07-09,5799,786,1,0,0,1
88,3,2014-07-09,4833,582,1,0,0,0
90,3,2014-07-09,5186,692,1,0,0,1
91,3,2014-07-09,4652,555,1,0,0,0
92,3,2014-07-09,4944,437,1,0,0,1
93,3,2014-07-09,4689,456,1,0,0,1
94,3,2014-07-09,5095,459,1,0,0,1
95,3,2014-07-09,6543,752,1,0,0,0
96,3,2014-07-09,4273,474,1,0,0,0
97,3,2014-07-09,5873,639,1,0,0,0
98,3,2014-07-09,4150,367,1,0,0,1
101,3,2014-07-09,5654,653,1,0,0,0
102,3,2014-07-09,3497,613,1,0,0,1
103,3,2014-07-09,4210,409,1,0,0,1
104,3,2014-07-09,9012,1214,1,0,0,1
105,3,2014-07-09,3529,494,1,0,0,0
106,3,2014-07-09,8083,763,1,0,0,1
107,3,2014-07-09,5124,744,1,0,0,0
109,3,2014-07-09,5125,658,1,0,0,0
110,3,2014-07-09,4827,674,1,0,0,0
111,3,2014-07-09,4822,450,1,0,0,0
112,3,2014-07-09,4202,563,1,0,0,0
114,3,2014-07-09,4217,509,1,0,0,0
116,3,2014-07-09,5782,677,1,0,0,1
117,3,2014-07-09,2594,347,1,0,0,1
118,3,2014-07-09,5691,538,1,0,0,0
119,3,2014-07-09,5350,652,1,0,0,0
120,3,2014-07-09,5262,505,1,0,0,0
121,3,2014-07-09,3796,448,1,0,0,0
122,3,2014-07-09,6469,858,1,0,0,0
123,3,2014-07-09,6613,882,1,0,0,0
124,3,2014-07-09,3292,410,1,0,0,1
125,3,2014-07-09,10058,1418,1,0,0,1
126,3,2014-07-09,4155,400,1,0,0,1
128,3,2014-07-09,5289,439,1,0,0,0
130,3,2014-07-09,3978,510,1,0,0,0
131,3,2014-07-09,3095,367,1,0,0,1
133,3,2014-07-09,4449,562,1,0,0,0
134,3,2014-07-09,5322,566,1,0,0,1
135,3,2014-07-09,4088,410,1,0,0,0
138,3,2014-07-09,6477,695,1,0,0,0
140,3,2014-07-09,4444,655,1,0,0,0
141,3,2014-07-09,4033,476,1,0,0,0
142,3,2014-07-09,3632,432,1,0,0,1
143,3,2014-07-09,4356,416,1,0,0,0
146,3,2014-07-09,5797,501,1,0,0,1
147,3,2014-07-09,5775,646,1,0,0,1
148,3,2014-07-09,8167,729,1,0,0,1
150,3,2014-07-09,6560,668,1,0,0,0
151,3,2014-07-09,4898,527,1,0,0,0
152,3,2014-07-09,3879,499,1,0,0,1
153,3,2014-07-09,5302,514,1,0,0,1
154,3,2014-07-09,7095,619,1,0,0,0
156,3,2014-07-09,4686,545,1,0,0,0
157,3,2014-07-09,7307,744,1,0,0,1
158,3,2014-07-09,6671,413,1,0,0,0
160,3,2014-07-09,4246,447,1,0,0,0
161,3,2014-07-09,4768,560,1,0,0,1
162,3,2014-07-09,5467,431,1,0,0,0
163,3,2014-07-09,6743,812,1,0,0,1
166,3,2014-07-09,3624,566,1,0,0,1
167,3,2014-07-09,7400,934,1,0,0,0
168,3,2014-07-09,4787,544,1,0,0,0
